date,SOC,Current,Temp,Voltage
2023-01-01 00:00:00,0.999751487,0.494913197,0.001732196,0.825361011
2023-01-01 00:00:01,0.999626997,0.494917812,0.001732196,0.823310394
2023-01-01 00:00:02,0.999503094,0.494922299,0.001732196,0.821816866
2023-01-01 00:00:03,0.999377858,0.494926942,0.001732196,0.820591735
2023-01-01 00:00:04,0.999255189,0.494922332,0.001732196,0.819501131
2023-01-01 00:00:05,0.999129468,0.494917848,0.001732196,0.818529538
2023-01-01 00:00:06,0.999006673,0.494917839,0.001732196,0.817566379
2023-01-01 00:00:07,0.99888315,0.494913215,0.001732196,0.816790101
2023-01-01 00:00:08,0.998757419,0.494913197,0.00173219,0.81594894
2023-01-01 00:00:09,0.998634508,0.494913197,5.17903714669643e-06,0.815177661
2023-01-01 00:00:10,0.99850878,0.494917839,0.0,0.814529916
2023-01-01 00:00:11,0.998386114,0.494917839,0.0,0.813760173
2023-01-01 00:00:12,0.998260887,0.494913215,0.00172527,0.813115007
2023-01-01 00:00:13,0.998137722,0.494913197,0.001732196,0.812470986
2023-01-01 00:00:14,0.998012246,0.494922276,5.210280779544e-06,0.811889316
2023-01-01 00:00:15,0.997889204,0.494913242,0.0,0.811246124
2023-01-01 00:00:16,0.997763603,0.494922286,0.0,0.810728211
2023-01-01 00:00:17,0.997640073,0.494926947,2.9108854771031603e-09,0.810146982
2023-01-01 00:00:18,0.997515087,0.494922313,0.00172873,0.80950361
2023-01-01 00:00:19,0.997392293,0.494917866,1.03557965861478e-05,0.809117836
2023-01-01 00:00:20,0.997269015,0.494913224,0.0,0.808538807
2023-01-01 00:00:21,0.997143291,0.49491783,0.00172872,0.808020632
2023-01-01 00:00:22,0.997017679,0.494917835,0.001730466,0.807439016
2023-01-01 00:00:23,0.996895136,0.49491322,8.61780379590726e-06,0.807054529
2023-01-01 00:00:24,0.996771737,0.494922267,0.0,0.806474734
2023-01-01 00:00:25,0.996646382,0.494913224,0.0,0.806022501
2023-01-01 00:00:26,0.99652102,0.494913197,0.0,0.805506448
2023-01-01 00:00:27,0.996397735,0.494922286,0.0,0.805055052
2023-01-01 00:00:28,0.996274578,0.494922304,0.0,0.804604239
2023-01-01 00:00:29,0.996149472,0.494913233,0.0,0.804217635
2023-01-01 00:00:30,0.996027039,0.494922204,0.0,0.803769757
2023-01-01 00:00:31,0.995901086,0.494913242,0.0,0.803315834
2023-01-01 00:00:32,0.9957773,0.494917835,0.0,0.802862755
2023-01-01 00:00:33,0.995652064,0.494922299,0.0,0.802475889
2023-01-01 00:00:34,0.995528534,0.494917835,0.001730467,0.802023789
2023-01-01 00:00:35,0.995403422,0.494913197,2.19180423810528e-09,0.801572976
2023-01-01 00:00:36,0.995280756,0.494913197,0.0,0.801188105
2023-01-01 00:00:37,0.995157602,0.494922249,0.0,0.800801702
2023-01-01 00:00:38,0.995031626,0.494917839,0.0,0.800412586
2023-01-01 00:00:39,0.994908346,0.494917839,0.0,0.79996132
2023-01-01 00:00:40,0.994783358,0.494913206,0.0,0.799639631
2023-01-01 00:00:41,0.994659829,0.494917839,0.0,0.799187725
2023-01-01 00:00:42,0.994534469,0.494917835,0.0,0.798864943
2023-01-01 00:00:43,0.994411436,0.494913201,0.0,0.798414583
2023-01-01 00:00:44,0.994286076,0.494913197,0.0,0.798091801
2023-01-01 00:00:45,0.994163652,0.494917807,0.0,0.797707691
2023-01-01 00:00:46,0.994038062,0.494917839,0.001725237,0.797383966
2023-01-01 00:00:47,0.993914403,0.494922299,0.001732196,0.796931862
2023-01-01 00:00:48,0.993789292,0.494917848,0.001732196,0.796609722
2023-01-01 00:00:49,0.993664055,0.494917839,3.45979709703848e-06,0.79628739
2023-01-01 00:00:50,0.993540648,0.494917839,0.0,0.795964736
2023-01-01 00:00:51,0.993417491,0.494922295,0.0,0.795642726
2023-01-01 00:00:52,0.993291886,0.494917844,0.0,0.7951905
2023-01-01 00:00:53,0.993169097,0.49492229,0.0,0.794869453
2023-01-01 00:00:54,0.993045941,0.494917857,0.0,0.794547446
2023-01-01 00:00:55,0.992920212,0.494917839,0.00173219,0.794223828
2023-01-01 00:00:56,0.992797178,0.494917839,0.001732196,0.793902139
2023-01-01 00:00:57,0.992671572,0.494917839,0.001732196,0.793578778
2023-01-01 00:00:58,0.992548784,0.494917839,0.001732196,0.793193525
2023-01-01 00:00:59,0.992423429,0.494913206,0.001732196,0.792870683
2023-01-01 00:01:00,0.992300268,0.494917826,0.001732196,0.792548672
2023-01-01 00:01:01,0.992174787,0.494922299,0.001732196,0.792225696
